id,query,ground_truth_short,ground_truth_full,relevant_id,difficulty,answer_type,,,,,,,,,,
13,ہنزہ کی مقدس چٹانوں پر تحریریں کس نے بنائیں؟,بدھ راہبوں نے,یہ تحریریں بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے بنائیں۔,3,medium,list-recall,,,,,,,,,,
14,تجارتی لحاظ سے وادی ہنزہ کن دو خطوں کو ملاتی تھی؟,وسطی ایشیا اور برصغیر,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔,4,easy,factual,,,,,,,,,,
15,بدھ راہبوں نے یہ تحریریں کس مقصد کے لیے بنائیں؟,عبادت اور ثقافت کے اظہار کے لیے,بدھ راہبوں نے یہ تحریریں عبادت اور ثقافت کے اظہار کے لیے بنائیں۔,3,medium,list-recall,,,,,,,,,,
16,ہنزہ کے لوگ کس مسلک سے تعلق رکھتے ہیں؟,اسماعیلی مسلک,ہنزہ کے زیادہ تر لوگ اسماعیلی مسلک سے تعلق رکھتے ہیں۔,3,easy,factual,,,,,,,,,,
17,وادی ہنزہ میں چٹانوں پر کس رسم الخط میں تحریریں ہیں؟,براہمی رسم الخط,وادی ہنزہ میں قدیم براہمی رسم الخط میں چٹانوں پر تحریریں موجود ہیں۔,3,easy,factual,,,,,,,,,,
18,وادی ہنزہ میں بدھ مت کے آثار کی کیا کیا شکلیں موجود ہیں؟,مقدس چٹان اور براہمی رسم الخط میں تحریریں,وادی ہنزہ میں بدھ مت کے آثار دو شکلوں میں موجود ہیں — ہنزہ کی مقدس چٹان اور براہمی رسم الخط میں چٹانوں پر بدھ راہبوں کی بنائی ہوئی تحریریں۔,3,medium,list-recall,,,,,,,,,,
19,وادی ہنزہ تجارت اور مذہب دونوں لحاظ سے کتنی اہم تھی؟,تجارتی راستوں میں اہم اور بدھ مت کے پھیلاؤ میں مددگار,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں میں اہم تھی اور ساتھ ہی بدھ راہبوں کے لیے محفوظ راستہ فراہم کر کے بدھ مت کے پھیلاؤ میں بھی کردار ادا کرتی تھی۔,4,medium,list-recall,,,,,,,,,,
20,وادی ہنزہ میں سیاح کون سی بلند چوٹیاں دیکھ سکتے ہیں؟,لیڈی فنگر اور الٹر,سیاح لیڈی فنگر اور الٹر جیسی 7000 میٹر اونچی چوٹیوں کا مشاہدہ کر سکتے ہیں۔,11,medium,list-recall,,,,,,,,,,
21,وادی ہنزہ میں کون سی بلند چوٹیاں دیکھی جا سکتی ہیں اور مقامی بروشاسکی زبان میں شکریہ کیسے کہا جاتا ہے؟,"7000 میٹر بلند چوٹیوں کا نظارہ؛ بروشاسکی میں شکریہ کے لیے ""جو نا","وادی ہنزہ میں سیاح لیڈی فنگر اور الٹر جیسی 7000 میٹر بلند چوٹیوں کے دلکش مناظر دیکھ سکتے ہیں۔ مقامی لوگوں سے بات چیت کے لیے بروشاسکی زبان کے چند الفاظ مددگار ثابت ہوتے ہیں، جیسے شکریہ کے لیے ""جو نا"" اور قیمت پوچھنے کے لیے ""گوسائی بروومار بی""۔","11,14",hard,multi-source,,,,,,,,,,
22,بروشاسکی میں قیمت پوچھنے کے لیے کیا کہتے ہیں؟,گوسائی بروومار بی,"بروشاسکی میں قیمت پوچھنے کے لیے ""گوسائی بروومار بی"" کہا جاتا ہے۔",14,easy,factual,,,,,,,,,,
23,وادی ہنزہ کے تین جغرافیائی حصے کون سے ہیں؟,اپر ہنزہ سنٹرل ہنزہ اور لوئر ہنزہ,"وادی ہنزہ کو جغرافیائی طور پر اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی) میں تقسیم کیا گیا ہے۔",2,medium,list-recall,,,,,,,,,,
24,وادی ہنزہ گلگت سے علیحدہ ریاست کے طور پر کب الگ  ہوئی اور یہ علیحدگی کب مکمل ہوئی؟,997 عیسوی میں شروع 15ویں صدی میں مکمل,تقریباً 997 عیسوی کے آس پاس علیحدگی شروع ہوئی اور 15ویں صدی میں ایّاش حکمران خاندان کے قیام کے ساتھ مکمل ہوئی۔,6,medium,list-recall,,,,,,,,,,
25,ہنزہ کی مقدس چٹان  کس تاریخی دور کی عکاسی کرتی ہے؟,بدھ مت کے دور کی,ہنزہ کی مقدس چٹان اس خطے میں بدھ مت کے قدیم دور اور اس کے اثرات کی عکاسی کرتی ہے۔,3,medium,list-recall,,,,,,,,,,
26,ضلع ہنزہ کے ثقافتی ورثے میں کون کون سے آثار شامل ہیں؟,التیت بلتیت قلعے پولو گراؤنڈ واچ ٹاورز مساجد اور ہلدیکش چٹانیں,ضلع ہنزہ میں التیت اور بلتیت قلعے تاریخی پولو گراؤنڈ واچ ٹاورز مساجد اور گنیش میں ہلدیکش مقدس چٹانیں ثقافتی ورثے میں شامل ہیں۔,10,medium,list-recall,,,,,,,,,,
27,ہنزہ میں کھانے پینے اور خریداری کے علاوہ سیاح مقامی ثقافت کا تجربہ کس طرح کر سکتے ہیں؟,روایتی لباس موسیقی رقص اور مقامی کھانوں سے,"ہنزہ میں سیاح روایتی لباس، موسیقی، رقص اور مقامی کھانوں کے ذریعے مقامی ثقافت کا تجربہ کر سکتے ہیں۔",12,medium,list-recall,,,,,,,,,,
28,ہنزہ کی مقدس چٹان سیاحوں اور تاریخ میں دلچسپی رکھنے والوں دونوں کے لیے کیوں اہم ہے؟,گھڑ سواروں اور آئبیکس کی تصویریں اور خروشتی تحریریں؛ بدھ مت کا اہم ورثہ,ہنزہ کی مقدس چٹان پر گھڑ سواروں اور آئبیکس کی تصویریں (پیٹروگلفس) اور خروشتی رسم الخط میں تحریریں موجود ہیں جو سیاح دیکھ سکتے ہیں۔ یہ چٹان مذہبی لحاظ سے اس لیے اہم ہے کہ یہ ہنزہ میں بدھ مت کے آثار میں سے ایک ہے۔,"5,3",hard,multi-source,,,,,,,,,,
29,ضلع ہنزہ کے ثقافتی ورثے اور قدرتی مناظر میں کون سے پہلو سیاحوں کو سب سے زیادہ متوجہ کرتے ہیں؟,التیت و بلتیت قلعے اور ہلدیکش مقدس چٹانیں؛ لیڈی فنگر اور الٹر کی چوٹیاں۔,"ضلع ہنزہ میں التیت اور بلتیت قلعے، تاریخی پولو گراؤنڈ، واچ ٹاورز، مساجد اور گنیش کی ہلدیکش مقدس چٹانیں اہم ثقافتی ورثہ ہیں، جبکہ سیاح لیڈی فنگر اور الٹر جیسی 7000 میٹر اونچی چوٹیوں کے دلکش مناظر بھی دیکھ سکتے ہیں۔","10,11",hard,multi-source,,,,,,,,,,
30,ہنزہ میں کون سے موسمی پھل ملتے ہیں جو سیاح وہاں جا کر چکھ سکتے ہیں؟,سیب خوبانی شہتوت چیری اور انگور,"ہنزہ میں سیاح سیب، خوبانی، شہتوت، چیری اور انگور جیسے مقامی پھل چکھ سکتے ہیں۔",12,medium,list-recall,,,,,,,,,,
31,ہنزہ میں مقامی لوگوں سے بات چیت کرنے کے لیے سیاح کون سی زبان استعمال کر سکتے ہیں؟,اردو اور انگریزی عام طور پر سمجھی جاتی ہیں,ہنزہ میں اردو اور انگریزی عام طور پر سمجھی جاتی ہیں اس لیے سیاح ان زبانوں میں بات چیت کر سکتے ہیں۔,12,medium,list-recall,,,,,,,,,,
32,وادی ہنزہ کی روایتی ثقافت اور مقامی زبانوں میں کیا تنوع پایا جاتا ہے؟,"ثقافت میں لباس، رقص، کھانے اور زبانوں میں بروشاسکی، شینا، واکھی کا تنوع","ہنزہ روایتی لباس، دھنوں، رقص اور کھانوں سے مالا مال ہے جبکہ یہاں بروشاسکی، شینا اور واکھی مقامی زبانیں بولی جاتی ہیں جو اس وادی کے ثقافتی تنوع کو ظاہر کرتی ہیں۔",12,medium,list-recall,,,,,,,,,,
33,عطا آباد جھیل پر جانے والے سیاح کیا کیا کر سکتے ہیں؟,بوٹنگ جیٹ سکینگ اور فشینگ,"عطا آباد جھیل پر سیاح بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیوں سے لطف اندوز ہو سکتے ہیں۔",13,medium,list-recall,,,,,,,,,,
34,ہنزہ میں سیاح مقامی لوگوں سے بات چیت کے لیے کون سی زبان استعمال کریں اور بروشاسکی کے کون سے الفاظ کام آ سکتے ہیں؟,اردو اور انگریزی سمجھی جاتی ہیں؛ جو نا بے حال بی لا گوسائی بروومار بی,"ہنزہ میں اردو اور انگریزی عام طور پر سمجھی جاتی ہیں۔ اس کے علاوہ بروشاسکی میں شکریہ کے لیے ""جو نا""، آپ کیسے ہیں کے لیے ""بے حال بی لا"" اور قیمت پوچھنے کے لیے ""گوسائی بروومار بی"" کہا جاتا ہے۔","12,14",hard,multi-source,,,,,,,,,,
35,عطا آباد جھیل وادی ہنزہ کا مشہور سیاحتی مقام کیوں سمجھی جاتی ہے؟,نیلے پانی اور آبی سرگرمیوں کی وجہ سے,"عطا آباد جھیل اپنے چمکدار نیلے پانی، خوبصورت مناظر اور بوٹنگ، جیٹ سکینگ اور فشینگ جیسی آبی سرگرمیوں کی وجہ سے وادی ہنزہ کے مشہور ترین سیاحتی مقامات میں شمار ہوتی ہے۔",13,medium,list-recall,,,,,,,,,,
36,"ہنزہ میں ایک دن میں قدرتی مناظر، تاریخی مقامات اور مقامی ثقافت تینوں کا تجربہ کہاں کہاں ممکن ہے؟","عطا آباد جھیل، التیت و بلتیت قلعے، ڈوئکر، پاسو و گلمٹ؛ روایتی موسیقی، رقص اور مقامی کھانے۔","ہنزہ میں عطا آباد جھیل کا نیلا پانی اور آبی سرگرمیاں، التیت و بلتیت قلعے، ڈوئکر گاؤں میں طلوع و غروب آفتاب اور وادی پاسو و گلمٹ کے مناظر قدرتی و تاریخی تجربہ دیتے ہیں جبکہ روایتی موسیقی، رقص اور مقامی پھل ثقافتی تجربے کا حصہ ہیں۔","13,12",hard,multi-source,,,,,,,,,,
37,بوریت جھیل کی سطح سمندر سے اونچائی کتنی ہے؟,"تقریباً 2,600 میٹر","بوریت جھیل کی سطح سمندر سے اونچائی تقریباً 2,600 میٹر ہے۔",15,easy,factual,,,,,,,,,,
38,بوریت جھیل کن جنگلی پرندوں کی پناہ گاہ ہے؟,"بطخوں، گیز اور ہنس کی","بوریت جھیل بطخوں، گیز اور ہنس جیسے جنگلی پرندوں کی اہم پناہ گاہ ہے۔",18,medium,list-recall,,,,,,,,,,
39,درہ خنجراب سردیوں میں کیوں بند رہتا ہے؟,سخت موسم کی وجہ سے,درہ خنجراب سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,21,easy,factual,,,,,,,,,,
40,ہنزہ جانے والے سیاح مقامی بروشاسکی زبان میں کون سے بنیادی الفاظ سیکھ کر جائیں؟,جو نا بے حال بی لا اور گوسائی بروومار بی,"ہنزہ میں بروشاسکی زبان میں شکریہ کے لیے ""جو نا""، آپ کیسے ہیں کے لیے ""بے حال بی لا"" اور قیمت پوچھنے کے لیے ""گوسائی بروومار بی"" کہا جاتا ہے۔",14,medium,list-recall,,,,,,,,,,
41,سوست قراقرم ہائی وے پر کس حیثیت سے جانا جاتا ہے؟,خنجراب پاس سے پہلے آخری پاکستانی قصبہ,سوست قراقرم ہائی وے پر خنجراب پاس سے پہلے واقع آخری پاکستانی قصبہ ہے۔,22,easy,factual,,,,,,,,,,
42,سوست میں پاکستان کی پہلی ڈرائی پورٹ کیا سہولت فراہم کرتی ہے؟,چین سے آنے والے تجارتی سامان کی کسٹم کلیئرنس,سوست میں واقع پاکستان کی پہلی ڈرائی پورٹ چین سے آنے والے تجارتی سامان کی کسٹم کلیئرنس کی سہولت فراہم کرتی ہے۔,23,easy,factual,,,,,,,,,,
43,تاریخ میں ہنزہ اور نگر کے تعلقات کیسے رہے؟,اندرونی جنگیں عام تھیں,ہنزہ اور اس کی پڑوسی ریاست نگر کے درمیان تاریخی طور پر اندرونی جنگیں اور تنازعات عام رہے ہیں۔,7,medium,list-recall,,,,,,,,,,
44,بوریت جھیل پرندوں کی پناہ گاہ کے طور پر کتنی اہم ہے اور سیاح اسے کب بہترین طریقے سے دیکھ سکتے ہیں؟,"بطخوں، گیز اور ہنس کی پناہ گاہ، بہترین وقت مارچ تا جون اور ستمبر تا نومبر","بوریت جھیل بطخوں، گیز اور ہنس جیسے جنگلی پرندوں کی اہم پناہ گاہ ہے اور ہجرت کرنے والے پرندوں کو دیکھنے کا بہترین وقت مارچ سے جون اور ستمبر سے نومبر کے درمیان ہے۔",18,medium,list-recall,,,,,,,,,,
45,پاسو گلیشیر کن گلیشیئرز سے جڑا ہوا ہے؟,بٹورا گلیشیر اور بٹورا مزتغ پہاڑی سلسلے کے دیگر گلیشیئرز سے,پاسو گلیشیر بٹورا گلیشیر اور بٹورا مزتغ پہاڑی سلسلے کے دیگر گلیشیئرز سے جڑا ہوا ہے۔,19,medium,list-recall,,,,,,,,,,
46,درہ خنجراب کی بلندی کتنی ہے اور یہ کن دو ملکوں کو آپس میں ملاتا ہے؟,"4,693 میٹر  پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے","درہ خنجراب 4,693 میٹر کی بلندی پر واقع ہے اور پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے۔",20,medium,list-recall,,,,,,,,,,
47,بوریت جھیل کی تاریخی اہمیت اور موجودہ ماحولیاتی صورتحال میں کیا فرق آیا ہے؟,پہلے میر آف ہنزہ کی شکار گاہ تھی اب حجم کم ہو رہا ہے,"بوریت جھیل تاریخی طور پر میر آف ہنزہ کی سردیوں کی شکار گاہ تھی لیکن اب زیر زمین رساو میں کمی، گلیشیئرز کے پگھلنے اور موسمیاتی تبدیلی کی وجہ سے جھیل کا حجم مسلسل کم ہوتا جا رہا ہے۔","16,17",hard,multi-source,,,,,,,,,,
48,درہ خنجراب کو 'گیٹ وے ٹو چائنا' کیوں کہا جاتا ہے اور اس کی جغرافیائی خصوصیت کیا ہے؟,"پاکستان کو چین سے ملاتا ہے اور 4,693 میٹر بلند دنیا کی بلند ترین سرحدی گزرگاہوں میں سے ایک ہے","درہ خنجراب 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے جو پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے، اس لیے اسے 'گیٹ وے ٹو چائنا' کہا جاتا ہے۔",20,medium,list-recall,,,,,,,,,,
49,خنجراب نام کا مطلب کیا ہے اور یہ کس زبان سے ماخوذ ہے؟,"وخی زبان سے، مطلب خون کی وادی",خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔,21,medium,list-recall,,,,,,,,,,
50,درہ خنجراب کے نام کا مطلب اور اس کی موسمی صورتحال اس علاقے کے بارے میں کیا بتاتے ہیں؟,خون کی وادی کا نام اور سردیوں میں بندش دونوں اس خطے کی سختی ظاہر کرتے ہیں,خنجراب کا مطلب خون کی وادی ہے جو اس علاقے کے مشکل خطوں کی عکاسی کرتا ہے اور یہی سختی سردیوں میں درے کی بندش کی وجہ بھی بنتی ہے۔,21,medium,list-recall,,,,,,,,,,
51,بوریت جھیل ضلع ہنزہ کے کس علاقے کے قریب واقع ہے؟,غلکین کے قریب حسینی کے شمال مغرب میں,بوریت جھیل بالائی ہنزہ میں گوجال کے علاقے غلکین کے قریب حسینی کے شمال مغرب میں واقع ہے۔,25,easy,factual,,,,,,,,,,
52,بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟,بوریت لیک ہوٹل,جھیل کے کنارے پہاڑی پر میر کے لیے بنایا گیا چھوٹا مکان آج بوریت لیک ہوٹل کے نام سے جانا جاتا ہے۔,16,easy,factual,,,,,,,,,,
53,سوست کی سطح سمندر سے اونچائی کتنی ہے اور یہ گلگت شہر سے کتنے فاصلے پر ہے؟,"2,800 میٹر، گلگت سے 184 کلومیٹر","سوست سطح سمندر سے 2,800 میٹر کی بلندی پر واقع ہے اور شاہراہ قراقرم پر گلگت شہر سے 184 کلومیٹر کے فاصلے پر ہے۔",22,medium,list-recall,,,,,,,,,,
54,سوست کی تجارتی اہمیت اور چین سے رابطے میں کیا تعلق ہے؟,پہلی ڈرائی پورٹ اور پاک چین تمام ٹریفک کا گزرگاہ ہونا,سوست میں پاکستان کی پہلی ڈرائی پورٹ چین سے آنے والے تجارتی سامان کی کسٹم کلیئرنس کرتی ہے اور پاک چین سرحد عبور کرنے والی تمام ٹریفک یہاں سے گزرتی ہے جو اسے ایک اہم تجارتی مرکز بناتا ہے۔,23,medium,list-recall,,,,,,,,,,
55,سوست گاؤں میں کون کون سی زبانیں بولی جاتی ہیں؟,واخی اور بروشسکی,سوست گاؤں میں لوگ واخی اور بروشسکی زبانیں بولتے ہیں۔,24,medium,list-recall,,,,,,,,,,
56,قراقرم ہائی وے سے پہلے درہ کِلک اور منٹاکا پاس کس مقصد کے لیے استعمال ہوتے تھے؟,پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر,قراقرم ہائی وے کے قائم ہونے سے پہلے یہ گزرگاہیں پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتی تھیں۔,27,easy,factual,,,,,,,,,,
57,اسلام آباد سے سوست تک پہنچنے کا راستہ کیا ہے؟,گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے,اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔,25,medium,list-recall,,,,,,,,,,
58,بوریت جھیل پر ہجرت کرنے والے پرندوں کو دیکھنے کا بہترین وقت کون سا ہے؟,مارچ سے جون اور ستمبر سے نومبر,بوریت جھیل پر ہجرت کرنے والے پرندوں کو دیکھنے کا بہترین وقت مارچ سے جون اور ستمبر سے نومبر کے درمیان ہے۔,18,easy,factual,,,,,,,,,,
59,وادی مسگر جغرافیائی لحاظ سے کہاں واقع ہے؟,ضلع ہنزہ میں چین اور افغانستان کی سرحدوں کے قریب,وادی مسگر گلگت بلتستان کے ضلع ہنزہ میں چین اور افغانستان کی سرحدوں کے قریب واقع ہے۔,28,easy,factual,,,,,,,,,,
60,منٹاکا پاس اور درہ کِلک بالترتیب کن ممالک کو آپس میں ملاتے ہیں؟,منٹاکا پاس پاکستان کو چین سے اور درہ کِلک افغانستان کی طرف جاتا ہے,منٹاکا پاس پاکستان کو چین سے ملاتا ہے جبکہ درہ کِلک مسافروں کو افغانستان کی طرف لے جاتا ہے۔,26,medium,list-recall,,,,,,,,,,
61,کریم آباد پہلے کس نام سے جانا جاتا تھا؟,بلتیت,کریم آباد پہلے بلتیت کے نام سے جانا جاتا تھا۔,30,easy,factual,,,,,,,,,,
62,قلمدارچی قلعہ کب اور کس دور میں تعمیر کیا گیا؟,1932-1933 میں برطانوی دور حکومت میں,قلمدارچی قلعہ 1932-1933 میں برطانوی دور حکومت میں تعمیر کیا گیا۔,31,easy,factual,,,,,,,,,,
63,قلمدارچی قلعہ کس مقصد کے لیے تعمیر کیا گیا تھا؟,چین اور افغانستان سے آنے والی مداخلتوں کو روکنے کے لیے,قلمدارچی قلعہ چین اور افغانستان سے آنے والی مداخلتوں کو روکنے کے لیے بنایا گیا تھا۔,31,easy,factual,,,,,,,,,,
64,بلتیت قلعہ تاریخی طور پر ہنزہ میں کس حیثیت کا حامل تھا؟,ریاست ہنزہ کا دارالحکومت,بلتیت قلعہ ریاست ہنزہ کا دارالحکومت تھا۔,32,easy,factual,,,,,,,,,,
65,بلتیت قلعہ کتنے عرصے تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا؟,700 سال تک,بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا۔,33,easy,factual,,,,,,,,,,
66,بوریت جھیل کا حجم کم ہونے کی کیا وجوہات ہیں؟,"زیر زمین رساو میں کمی، گلیشیئرز کا پگھلنا اور موسمیاتی تبدیلی","بوریت جھیل کا حجم زیر زمین رساو میں کمی، گلیشیئرز کے پگھلنے اور موسمیاتی تبدیلی کے اثرات کی وجہ سے کم ہوگیا ہے۔",27,medium,list-recall,,,,,,,,,,
67,مسگر میں انگریزوں کا تعمیر کردہ کلام درچی قلعہ کس مقصد کے لیے بنایا گیا تھا؟,روسی اور چینی پیش قدمی پر نظر رکھنے کے لیے,مسگر میں انگریزوں کا تعمیر کردہ کلام درچی قلعہ روسی اور چینی پیش قدمی پر نظر رکھنے کے لیے بنایا گیا تھا۔,17,medium,list-recall,,,,,,,,,,
68,ہنزہ پہلے کس نام سے جانی جاتی تھی اور اس پر کون حکومت کرتے تھے؟,"کنجوت، موروثی بادشاہ میر تھم",ہنزہ پہلے کنجوت کے نام سے جانی جاتی تھی اور اس پر موروثی بادشاہ میر تھم حکومت کرتے تھے۔,33,medium,list-recall,,,,,,,,,,
69,بلتیت قلعہ یونیسکو کے عالمی ثقافتی ورثے کی فہرست میں کب شامل ہوا؟,2004 سے,بلتیت قلعہ 2004 سے یونیسکو کے عالمی ثقافتی ورثے کی فہرست میں شامل ہے۔,35,easy,factual,,,,,,,,,,
70,1891 میں برطانوی فوجیوں نے ہنزہ پر حملہ کیوں کیا؟,روسی اثر و رسوخ کو روکنے کی حکمت عملی کے تحت,1891 میں برطانوی فوجیوں نے روسی اثر و رسوخ کو روکنے کی حکمت عملی کے تحت ہنزہ پر حملہ کیا اور بلتیت قلعہ پر قبضہ کر لیا۔,34,medium,list-recall,,,,,,,,,,
71,بلتیت قلعہ کب ترک کیا گیا اور کسے عطیہ کیا گیا؟,1945 میں — میر غضنفر علی خان نے قلعہ بلتیت ہیریٹیج ٹرسٹ کو,قلعہ 1945 میں ترک کر دیا گیا اور میر غضنفر علی خان نے اسے قلعہ بلتیت ہیریٹیج ٹرسٹ کو عطیہ کر دیا۔,34,medium,list-recall,,,,,,,,,,
72,وادی مسگر اور قلمدارچی قلعے کا آپس میں کیا تعلق ہے؟,مسگر میں انگریزوں کا بنایا کلام درچی قلعہ اور قلمدارچی قلعہ دونوں چین افغانستان مداخلت روکنے کے لیے تھے,وادی مسگر میں انگریزوں کا تعمیر کردہ کلام درچی قلعہ روسی اور چینی پیش قدمی روکنے کے لیے بنایا گیا تھا جبکہ قلمدارچی قلعہ بھی اسی مقصد یعنی چین اور افغانستان سے مداخلتیں روکنے کے لیے تعمیر کیا گیا تھا۔,"29,31",hard,multi-source,,,,,,,,,,
73,بلتیت قلعے کی 700 سالہ شاہی تاریخ اور برطانوی قبضے میں کیا تعلق ہے؟,700 سال شاہی گھر رہا پھر 1891 میں برطانویوں نے روسی اثر روکنے کے لیے قبضہ کیا,بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان کا گھر رہا لیکن 1891 میں برطانوی فوجیوں نے روسی اثر و رسوخ روکنے کی حکمت عملی کے تحت ہنزہ پر حملہ کر کے اس قلعے پر قبضہ کر لیا۔,"33,34",hard,multi-source,,,,,,,,,,
